country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Afghanistan,AFG,16-10-2021,,,,,36635,,,,920,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Albania,ALB,16-10-2021,,,,,5205,,,,1812,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://shendetesia.gov.al/vaksinimi-anticovid-kryhen-2000104-vaksinime/
Algeria,DZA,16-10-2021,,,,,35543,,,,797,"Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Andorra,AND,16-10-2021,,,,,66,,,,853,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Angola,AGO,16-10-2021,,,,,99953,,,,2946,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Anguilla,AIA,16-10-2021,,,,,0,,,,0,Oxford/AstraZeneca,World Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Antigua and Barbuda,ATG,16-10-2021,101390,55103,46287,,364,102.7,55.81,46.88,3687,"Oxford/AstraZeneca, Pfizer/BioNTech, Sputnik V",Ministry of Health,https://covid19.gov.ag
Argentina,ARG,16-10-2021,55605668,31177414,24514822,501961,255095,121.93,68.36,53.75,5593,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.argentina.gob.ar/coronavirus/vacuna/aplicadas
Armenia,ARM,16-10-2021,,,,,14687,,,,4948,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://covid19.who.int/
Aruba,ABW,16-10-2021,,,,,109,,,,1017,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,16-10-2021,32418073,18170223,14245406,195901,277166,125.71,70.46,55.24,10748,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via CovidBaseAU,https://covidbaseau.com/
Austria,AUT,16-10-2021,11244697,5824395,5542845,11242,18755,124.35,64.41,61.29,2074,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/data/COVID19_vaccination_doses_timeline.csv
Azerbaijan,AZE,16-10-2021,,,,,29064,,,,2843,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Government of Azerbaijan,https://koronavirusinfo.az
Bahamas,BHS,16-10-2021,,,,,1820,,,,4585,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bahrain,BHR,16-10-2021,2700105,1170546,1132855,4334,6914,154.44,66.95,64.8,3955,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,16-10-2021,56133021,37450120,18682901,,407482,33.75,22.52,11.23,2450,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Directorate General of Health Services,http://103.247.238.92/webportal/pages/covid19-vaccination-update.php
Barbados,BRB,16-10-2021,261495,144981,116514,842,1134,90.89,50.39,40.5,3941,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.facebook.com/photo?fbid=257008643132011&set=a.248616513971224
Belarus,BLR,16-10-2021,,,,,38347,,,,4061,"Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Belgium,BEL,16-10-2021,16797482,8672242,8522893,11130,7921,144.4,74.55,73.27,681,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Belize,BLZ,16-10-2021,,,,,1738,,,,4292,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Benin,BEN,16-10-2021,,,,,2137,,,,172,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://covid19.who.int/
Bermuda,BMU,16-10-2021,,,,,97,,,,1562,"Oxford/AstraZeneca, Pfizer/BioNTech",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
Bhutan,BTN,16-10-2021,,,,,1779,,,,2281,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Bolivia,BOL,16-10-2021,,,,,32141,,,,2716,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://www.unidoscontraelcovid.gob.bo
Bosnia and Herzegovina,BIH,16-10-2021,,,,,7419,,,,2273,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Public Health Institute,https://www.slobodnaevropa.org/a/bih-vakcine-unistavanje-vakcinacija/31555241.html
Botswana,BWA,16-10-2021,,,,,13626,,,,5684,"Covaxin, Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Brazil,BRA,16-10-2021,,,,,1273086,,,,5949,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19_Vacina_V2/DEMAS_C19_Vacina_v2.html
British Virgin Islands,VGB,16-10-2021,,,,,32,,,,1052,"Johnson&Johnson, Oxford/AstraZeneca",World Health Organization,https://covid19.who.int/
Brunei,BRN,16-10-2021,,,,,4831,,,,10941,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.moh.gov.bn/Lists/Latest%20news/NewDispForm.aspx?ID=1100&Source=http%3A%2F%2Fwww%2Emoh%2Egov%2Ebn%2FLists%2FLatest%2520news%2FAllItems%2Easpx&ContentTypeId=0x0104009A3003A09F8D6E42981D262E322516A2
Bulgaria,BGR,16-10-2021,2626708,,1383964,2925,5602,38.09,,20.07,812,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
Burkina Faso,BFA,16-10-2021,,,,,5541,,,,258,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://africacdc.org/covid-19-vaccination/
Cambodia,KHM,16-10-2021,26438825,13585319,12541420,202889,252504,156.01,80.17,74.01,14900,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing, Sinovac",Ministry of Health,https://www.facebook.com/MinistryofHealthofCambodia/photos/a.930887636950343/4587195707986166/
Cameroon,CMR,16-10-2021,,,,,1140,,,,42,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Canada,CAN,16-10-2021,57584787,29536806,27692198,49085,76596,151.27,77.59,72.74,2012,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Official data from provinces via covid19tracker.ca,https://covid19tracker.ca/vaccinationtracker.html
Cape Verde,CPV,16-10-2021,,,,,1494,,,,2659,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Cayman Islands,CYM,16-10-2021,,,,,190,,,,2857,"Oxford/AstraZeneca, Pfizer/BioNTech",World Health Organization,https://covid19.who.int/
Central African Republic,CAF,16-10-2021,,,,,7781,,,,1582,"Covaxin, Oxford/AstraZeneca",Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chad,TCD,16-10-2021,,,,,2602,,,,154,Sinopharm/Beijing,Africa Centres for Disease Control and Prevention,https://covid19.who.int/
Chile,CHL,16-10-2021,34225631,16143996,14389596,6112,116645,178.14,84.03,74.9,6071,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac","Ministerio de Ciencia, Tecnología, Conocimiento e Innovación",https://github.com/MinCiencia/Datos-COVID19
China,CHN,16-10-2021,2230567000,,,1355000,1491286,154.45,,,1033,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",National Health Commission,http://www.nhc.gov.cn/jkj/s7915/202111/806a0ebc9df947b7b2ec43a45d88b8c1.shtml
Colombia,COL,16-10-2021,,,,,231440,,,,4515,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://docs.google.com/spreadsheets/d/1eblBeozGn1soDGXbOIicwyEDkUqNMzzpJoAKw84TTA4
Comoros,COM,16-10-2021,,,,,4406,,,,4959,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",World Health Organization,https://covid19.who.int/
Congo,COG,16-10-2021,,,,,3181,,,,562,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Africa Centres for Disease Control and Prevention,https://africacdc.org/covid-19-vaccination/
Cook Islands,COK,16-10-2021,,,,,73,,,,4154,Pfizer/BioNTech,SPC Public Health Division,https://stats.pacificdata.org/vis?tm=covid&pg=0&df[ds]=SPC2&df[id]=DF_COVID_VACCINATION&df[ag]=SPC&df[vs]=1.0
Costa Rica,CRI,16-10-2021,,,,,27314,,,,5315,"Oxford/AstraZeneca, Pfizer/BioNTech",Costa Rican Social Security Fund,https://www.ccss.sa.cr/web/coronavirus/vacunacion
Cote d'Ivoire,CIV,16-10-2021,,,,,35917,,,,1328,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",World Health Organization,https://covid19.who.int/
Croatia,HRV,16-10-2021,3520008,1870176,1754676,3395,4833,86.24,45.82,42.99,1184,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.koronavirus.hr
Cuba,CUB,16-10-2021,24464590,9713978,6777771,302496,226963,216.17,85.83,59.89,20054,"Abdala, Soberana02",Ministry of Health,https://salud.msp.gob.cu/actualizacion-de-la-vacunacion-en-el-marco-de-los-estudios-de-los-candidatos-vacunales-cubanos-y-la-intervencion-sanitaria/
Curacao,CUW,16-10-2021,,,,,198,,,,1201,"Moderna, Pfizer/BioNTech",Government of Curacao,https://bakuna.cw/
Cyprus,CYP,16-10-2021,,,,,2361,,,,2635,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.cy/moh/moh.nsf/All/0EFA027144C9E54AC22586BE0032B2F5
Czechia,CZE,16-10-2021,11959464,6133237,6032419,3482,8844,111.51,57.19,56.25,825,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://onemocneni-aktualne.mzcr.cz/covid-19
Democratic Republic of Congo,COD,16-10-2021,,,,,430,,,,5,Oxford/AstraZeneca,World Health Organization,https://covid19.who.int/
Denmark,DNK,16-10-2021,,4462980,4393107,,2118,,76.77,75.57,364,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Statens Serum Institute,https://covid19.ssi.dk/overvagningsdata/download-fil-med-vaccinationsdata
Djibouti,DJI,16-10-2021,,,,,592,,,,591,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinovac, Sputnik V",World Health Organization,https://africacdc.org/covid-19-vaccination/
Dominica,DMA,16-10-2021,,,,,135,,,,1871,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Pan American Health Organization,https://ais.paho.org/imm/IM_DosisAdmin-Vacunacion.asp
